Entity,Code,Year,Maternal_mortality
Bangladesh,BGD,2000,434
Bangladesh,BGD,2001,423
Bangladesh,BGD,2002,410
Bangladesh,BGD,2003,395
Bangladesh,BGD,2004,372
Bangladesh,BGD,2005,343
Bangladesh,BGD,2006,315
Bangladesh,BGD,2007,297
Bangladesh,BGD,2008,280
Bangladesh,BGD,2009,269
Bangladesh,BGD,2010,258
Bangladesh,BGD,2011,248
Bangladesh,BGD,2012,238
Bangladesh,BGD,2013,227
Bangladesh,BGD,2014,214
Bangladesh,BGD,2015,200
Bangladesh,BGD,2016,186
Bangladesh,BGD,2017,173
Brazil,BRA,2000,69
Brazil,BRA,2001,68
Brazil,BRA,2002,69
Brazil,BRA,2003,70
Brazil,BRA,2004,71
Brazil,BRA,2005,71
Brazil,BRA,2006,72
Brazil,BRA,2007,71
Brazil,BRA,2008,70
Brazil,BRA,2009,69
Brazil,BRA,2010,65
Brazil,BRA,2011,61
Brazil,BRA,2012,60
Brazil,BRA,2013,61
Brazil,BRA,2014,62
Brazil,BRA,2015,63
Brazil,BRA,2016,62
Brazil,BRA,2017,60
Kenya,KEN,2000,708
Kenya,KEN,2001,702
Kenya,KEN,2002,692
Kenya,KEN,2003,678
Kenya,KEN,2004,653
Kenya,KEN,2005,618
Kenya,KEN,2006,583
Kenya,KEN,2007,545
Kenya,KEN,2008,513
Kenya,KEN,2009,472
Kenya,KEN,2010,432
Kenya,KEN,2011,398
Kenya,KEN,2012,373
Kenya,KEN,2013,364
Kenya,KEN,2014,358
Kenya,KEN,2015,353
Kenya,KEN,2016,346
Kenya,KEN,2017,342
South Asia,NA,2000,395
South Asia,NA,2001,379
South Asia,NA,2002,361
South Asia,NA,2003,344
South Asia,NA,2004,327
South Asia,NA,2005,309
South Asia,NA,2006,293
South Asia,NA,2007,278
South Asia,NA,2008,263
South Asia,NA,2009,249
South Asia,NA,2010,235
South Asia,NA,2011,222
South Asia,NA,2012,210
South Asia,NA,2013,199
South Asia,NA,2014,190
South Asia,NA,2015,179
South Asia,NA,2016,169
South Asia,NA,2017,163
Sub-Saharan Africa,NA,2000,870
Sub-Saharan Africa,NA,2001,849
Sub-Saharan Africa,NA,2002,833
Sub-Saharan Africa,NA,2003,812
Sub-Saharan Africa,NA,2004,782
Sub-Saharan Africa,NA,2005,746
Sub-Saharan Africa,NA,2006,713
Sub-Saharan Africa,NA,2007,685
Sub-Saharan Africa,NA,2008,664
Sub-Saharan Africa,NA,2009,645
Sub-Saharan Africa,NA,2010,626
Sub-Saharan Africa,NA,2011,610
Sub-Saharan Africa,NA,2012,596
Sub-Saharan Africa,NA,2013,582
Sub-Saharan Africa,NA,2014,571
Sub-Saharan Africa,NA,2015,557
Sub-Saharan Africa,NA,2016,545
Sub-Saharan Africa,NA,2017,534
World,OWID_WRL,2000,342
World,OWID_WRL,2001,335
World,OWID_WRL,2002,328
World,OWID_WRL,2003,319
World,OWID_WRL,2004,309
World,OWID_WRL,2005,296
World,OWID_WRL,2006,284
World,OWID_WRL,2007,274
World,OWID_WRL,2008,265
World,OWID_WRL,2009,257
World,OWID_WRL,2010,248
World,OWID_WRL,2011,241
World,OWID_WRL,2012,234
World,OWID_WRL,2013,229
World,OWID_WRL,2014,224
World,OWID_WRL,2015,219
World,OWID_WRL,2016,214
World,OWID_WRL,2017,211
