year,medals
2022,gold
2022,gold
2022,gold
2022,gold
2022,gold
2022,silver
2022,bronze
2022,bronze
2022,bronze
1988,gold
1988,gold
1988,gold
1988,silver
1988,silver
1988,silver
1988,silver
1988,bronze
1988,bronze
1988,bronze
1988,bronze
1972,gold
1972,gold
1972,gold
1972,silver
1972,silver
1972,bronze
2018,gold
2018,gold
2018,silver
2018,silver
2018,silver
2018,bronze
2018,bronze
1956,gold
1956,gold
1956,silver
1956,silver
1956,bronze
1956,bronze
1948,gold
1948,gold
1948,silver
1948,silver
1948,bronze
1948,bronze
1984,gold
1984,gold
1984,silver
1984,silver
2014,gold
2014,gold
2014,bronze
2010,gold
2010,gold
2010,bronze
1960,gold
1960,gold
1994,gold
1994,silver
1994,silver
1994,bronze
1976,gold
1976,silver
1976,silver
2006,silver
2006,bronze
2006,bronze
1968,silver
1968,bronze
1968,bronze
1998,silver
1998,bronze
1980,bronze
1980,bronze
1980,bronze
2002,bronze
1992,bronze
